Species	Order	Family	Genus	AdultBodyMassGrams	SexualMaturityAgeDays	MaxLongevity	LitterSize	LittersPerYear	BasalMetRate	Temp_Mean_01degC
Grammomys_surdaster	Rodentia	Muridae	Grammomys	60	73	NA	3	NA	NA	NA
Halichoerus_grypus	Carnivora	Phocidae	Halichoerus	197570.01	1770.72	560.07	0.96	0.9	38605.8	NA
Heterocephalus_glaber	Rodentia	Bathyergidae	Heterocephalus	39.36	296.5	372	11.3	4.5	25.74	23.905
Hipposideros_armiger	Chiroptera	Hipposideridae	Hipposideros	49.99	NA	NA	NA	NA	NA	18.589
Homo_sapiens	Primates	Hominidae	Homo	58540.63	5582.93	1470	1	0.3	NA	NA
Hyaena_hyaena	Carnivora	Hyaenidae	Hyaena	35070.51	928.08	300	2.44	NA	4582.8	22.897
Hylobates_moloch	Primates	Hylobatidae	Hylobates	5860.81	2337	540	1	0.42	NA	23.825
Ictidomys_tridecemlineatus	Rodentia	Sciuridae	Ictidomys	174.91	264.16	NA	8.08	1	103.74	8.037
Jaculus_jaculus	Rodentia	Dipodidae	Jaculus	59.8	240.52	87.6	3.24	1.5	92.25	23.989
Lagenorhynchus_obliquidens	Artiodactyla	Delphinidae	Sagmatias	109694.46	3522.25	552	1	NA	NA	NA
Lemur_catta	Primates	Lemuridae	Lemur	2626.48	831.62	447.6	1.18	1	NA	22.971
Leopardus_geoffroyi	Carnivora	Felidae	Leopardus	4000	479	276	2	1.3	NA	15.723
Leptonychotes_weddellii	Carnivora	Phocidae	Leptonychotes	400000	1587.55	300	1	1	113712	NA
Lipotes_vexillifer	Artiodactyla	Lipotidae	Lipotes	112138.32	3367.31	288	1	0.5	NA	NA
Lontra_canadensis	Carnivora	Mustelidae	Lontra	8087.42	729.99	324	2.67	0.9	NA	1.063
Loxodonta_africana	Proboscidea	Elephantidae	Loxodonta	3824539.93	4977.64	960	0.84	0.2	NA	23.148
Lynx_canadensis	Carnivora	Felidae	Lynx	9682.82	672.9	321.6	2.73	1	NA	-3.176
Macaca_fascicularis	Primates	Cercopithecidae	Macaca	4569.32	1319.5	468	1	1	NA	24.922
Macaca_mulatta	Primates	Cercopithecidae	Macaca	6455.19	1101.07	480	1.01	1	2239	16.88
Macaca_nemestrina	Primates	Cercopithecidae	Macaca	7820.78	1427.17	451.2	1.01	0.8	NA	24.669
Macaca_thibetana_thibetana	Primates	Cercopithecidae	Macaca	10593.06	1776	324	1.01	0.5	NA	12.961
Mandrillus_leucophaeus	Primates	Cercopithecidae	Mandrillus	14253.3	1745.96	468	1.01	0.5	NA	24.278
Manis_javanica	Pholidota	Manidae	Manis	4861.71	755.15	NA	1	1	1105.64	24.719
Manis_pentadactyla	Pholidota	Manidae	Manis	4675	755.15	NA	1	1	NA	17.526
Marmota_flaviventris	Rodentia	Sciuridae	Marmota	3709.73	827.69	254.4	4.66	1	1546.2	5.947
Marmota_marmota_marmota	Rodentia	Sciuridae	Marmota	4059.15	827.69	216	4	1	1008.72	4.667
Marmota_monax	Rodentia	Sciuridae	Marmota	3880.93	413.84	168	4.1	1	662.5	2.67
Mastomys_coucha	Rodentia	Muridae	Mastomys	53.81	NA	NA	7.96	NA	NA	17.625
Meles_meles	Carnivora	Mustelidae	Meles	11884.03	420.91	223.2	3.11	1	3340.8	NA
Meriones_unguiculatus	Rodentia	Muridae	Meriones	57.75	56.5	75.6	5.01	3	99.4	0.337
Mesocricetus_auratus	Rodentia	Cricetidae	Mesocricetus	98.6	50.97	120	8.79	4	NA	10.77
Microcebus_murinus	Primates	Cheirogaleidae	Microcebus	69	355.53	218.4	2	1	125.84	24.086
Microtus_fortis	Rodentia	Cricetidae	Alexandromys	63	131.53	NA	5.34	6	NA	5.803
Microtus_ochrogaster	Rodentia	Cricetidae	Microtus	42.5	36.19	63.6	3.87	4.07	82.47	8.289
Microtus_oregoni	Rodentia	Cricetidae	Microtus	20.35	34.23	15	3.32	4.8	NA	7.396
Miniopterus_natalensis	Chiroptera	Miniopteridae	Miniopterus	10.43	NA	NA	1	1	NA	NA
Mirounga_angustirostris	Carnivora	Phocidae	Mirounga	1112390.81	1522.5	243.5	1	1	NA	NA
Mirounga_leonina	Carnivora	Phocidae	Mirounga	1600000	1607.08	276	1	1	NA	NA
Molossus_molossus	Chiroptera	Molossidae	Molossus	13.7	103.46	67.2	0.99	2	20.13	22.613
Monodelphis_domestica	Didelphimorphia	Didelphidae	Monodelphis	93.45	162.11	72	7.29	4	61.25	22.986
Monodon_monoceros	Artiodactyla	Monodontidae	Monodon	938126.44	2580.24	600	1	0.41	NA	NA
Mus_caroli	Rodentia	Muridae	Mus	14.26	47.5	NA	NA	NA	NA	22.766
Mus_musculus	Rodentia	Muridae	Mus	19.3	64.71	72	5.54	4.5	56.76	NA
Mus_pahari	Rodentia	Muridae	Mus	NA	NA	NA	NA	NA	NA	18.761
Mustela_erminea	Carnivora	Mustelidae	Mustela	284.5	93.09	150	6.74	1	NA	-2.822
Mustela_putorius_furo	Carnivora	Mustelidae	Mustela	975.55	308.5	168	8.48	1	847.8	6.388
Myodes_glareolus	Rodentia	Cricetidae	Myodes	20.73	40.91	58.8	4.31	3.5	57.2	3.821
Myotis_brandtii	Chiroptera	Vespertilionidae	Myotis	5.3	456	492	1	NA	NA	4.296
Myotis_davidii	Chiroptera	Vespertilionidae	Myotis	7	NA	NA	NA	NA	NA	NA
Myotis_lucifugus	Chiroptera	Vespertilionidae	Myotis	7.8	280.6	408	1	1	9.29	NA
Myotis_myotis	Chiroptera	Vespertilionidae	Myotis	25.59	399.6	445.2	1.5	1	NA	9.102
Nannospalax_galili	Rodentia	Spalacidae	Nannospalax	160	610	NA	3	1	NA	NA
Neogale_vison	Carnivora	Mustelidae	Neogale	925	352	136.8	4.5	1	NA	1.491
Neomonachus_schauinslandi	Carnivora	Phocidae	Neomonachus	222999.99	1687.65	360	1	0.5	NA	NA
Neophocaena_asiaeorientalis_asiaeorientalis	Artiodactyla	Phocoenidae	Neophocaena	56000	1733	NA	NA	NA	NA	NA
Nomascus_leucogenys	Primates	Hylobatidae	Nomascus	7320	3069	529.2	1	0.4	NA	19.067
